oblast_or_country,pcode,# total population,# female population,# male population,# female younger population (0 - 14 years),# male younger population (0 - 14 years),# total younger population (0 - 14 years),# female older population (60 years and up),# male older population (60 years and up),# total older population (60 years and up),# registered IDPs,# people exposed,# people affected,# people in need,# people in level 1 humanitarian condition,# people in level 2 humanitarian condition,# people in level 3 humanitarian condition,# people in level 4 humanitarian condition,# people in level 5 humanitarian condition,# km² landmass affected,# km² controlled by Ukrainian authorities/forces,# km² controlled by Russian forces,# km² unconfirmed control,# battles,# explosions/remote violence,# violence against civilians,# fatalities,# civilian fatalities,# civilian injuries,# total infrastructure damage,# total access events,# unemployed people,period
Vinnytska,UA05,1502430,805537,696893,110508,117742,228250,238346,134465,372811,11311,1502430,315000,315000,1187430,0,315000,0,0,26491,26491,0,0,0,0,0,0,0,0,0,3,16733,May2022
Volynska,UA07,1018628,537725,480903,95205,101245,196450,129037,73972,203009,3105,1018628,211000,211000,807628,0,211000,0,0,20149,20149,0,0,0,0,0,0,0,0,0,3,8255,May2022
Zakarpatska,UA21,1241643,644559,597084,117513,124691,242204,141186,88706,229892,3368,1241643,257000,257000,984643,0,257000,0,0,12758,12758,0,0,0,1,0,0,0,0,2,3,5575,May2022
Zaporizka,UA23,1637673,889959,747714,112990,119983,232973,277337,147331,424668,56284,1637673,633000,633000,1004673,0,633000,0,0,27180,6795,20385,0,27,127,17,119,0,0,43,31,16315,May2022
Zhytomyrska,UA18,1179801,629467,550334,92406,98146,190552,179745,98703,278448,7057,1179801,248000,248000,931801,0,248000,0,0,29839,29839,0,0,0,4,0,1,0,0,1,8,13414,May2022
Cherkaska,UA71,1157115,624475,532640,75552,81536,157088,196700,110769,307469,10784,1157115,244000,244000,913115,0,244000,0,0,20940,20940,0,0,0,1,0,1,0,0,1,0,14632,Jun2022
Chernihivska,UA74,950773,518447,432326,61356,64084,125440,174896,90800,265696,7315,950773,672000,672000,278773,0,672000,0,0,31895,31895,0,0,0,38,0,0,0,0,4,4,13064,Jun2022
Chernivetska,UA73,887392,468777,418615,73482,78391,151873,116988,69688,186676,2392,887392,184000,184000,703392,0,184000,0,0,8095,8095,0,0,0,0,0,0,0,0,0,0,4956,Jun2022
Dnipropetrovska,UA12,3093176,1680750,1412426,226943,240091,467034,503014,265558,768572,71514,3093176,681000,681000,2412176,0,681000,0,0,31910,31910,0,0,4,65,0,30,0,0,50,2,25727,Jun2022
Donetska,UA14,4046487,2207252,1839235,204708,218811,423519,810872,465603,1276475,512237,4046487,2200000,2200000,1846487,0,2200000,0,0,26500,11149,15055,296,178,1227,1,1093,0,0,180,60,8007,Jun2022
Ivano-Frankivska,UA26,1349096,711226,637870,108676,115708,224384,181690,108256,289946,3833,1349096,280000,280000,1069096,0,280000,0,0,13933,13933,0,0,0,0,0,0,0,0,0,0,8198,Jun2022
Kharkivska,UA63,2583325,1384642,1198683,169358,180505,349863,412784,224680,637464,135556,2583325,1500000,1500000,1083325,0,1500000,0,0,31435,21810,9430,195,48,500,13,132,0,0,158,27,20659,Jun2022
Khersonska,UA65,1000166,535440,464726,76623,81913,158536,153827,84911,238738,14614,1000166,766000,766000,234166,0,766000,0,0,26657,0,26657,0,15,100,19,80,0,0,8,36,10404,Jun2022
Khmelnytska,UA68,1225666,655503,570163,92902,97681,190583,193654,109045,302699,6580,1225666,257000,257000,968666,0,257000,0,0,20628,20628,0,0,0,0,0,0,0,0,0,0,11247,Jun2022
Kirovohradska,UA35,897297,483025,414272,63954,67838,131792,148637,82051,230688,6558,897297,190000,190000,707297,0,190000,0,0,24578,24578,0,0,0,0,0,0,0,0,0,0,11543,Jun2022
Kyiv,UA80,2910994,1568793,1342201,232566,248470,481036,401501,236765,638266,163491,2910994,1900000,1900000,1010994,0,1900000,0,0,834,834,0,0,0,3,0,1,0,0,0,0,18170,Jun2022
Kyivska,UA32,1789300,969870,819430,153069,163542,316611,253461,137057,390518,66045,1789300,569000,569000,1220300,0,569000,0,0,28132,28132,0,0,0,0,0,0,0,0,96,0,15549,Jun2022
Luhanska,UA44,2098324,1136515,961809,91298,98018,189316,436762,256423,693185,282493,2098324,1500000,1500000,598324,0,1500000,0,0,26688,1193,25354,141,128,246,0,299,0,0,125,44,3648,Jun2022
Lvivska,UA46,2459763,1294772,1164991,192773,203584,396357,343762,206012,549774,11244,2459763,511000,511000,1948763,0,511000,0,0,21824,21824,0,0,0,4,0,0,0,0,9,0,10784,Jun2022
Mykolaivska,UA48,1091106,584957,506149,79731,85170,164901,170974,95197,266171,8316,1091106,471000,471000,620106,0,471000,0,0,24016,23000,887,129,3,201,1,118,0,0,833,13,15441,Jun2022
Odeska,UA51,2340332,1237452,1102880,189998,203812,393810,333832,194370,528202,38602,2340332,483000,483000,1857332,0,483000,0,0,33348,33348,0,0,1,23,0,22,0,0,6,14,12690,Jun2022
Poltavska,UA53,1344445,722656,621789,91171,97568,188739,219156,120834,339990,22643,1344445,283000,283000,1061445,0,283000,0,0,28723,28723,0,0,0,2,0,10,0,0,5,0,17666,Jun2022
Rivnenska,UA56,1140724,598625,542099,111755,117385,229140,138715,81699,220414,3022,1140724,236000,236000,904724,0,236000,0,0,20053,20053,0,0,0,1,0,4,0,0,0,0,10494,Jun2022
Sumska,UA59,1033580,558993,474587,64296,68282,132578,177893,100633,278526,11247,1033580,821000,821000,212580,0,821000,0,0,23842,23842,0,0,0,133,0,14,0,0,14,32,17100,Jun2022
Ternopilska,UA61,1018462,541302,477160,76461,80396,156857,147742,86344,234086,2159,1018462,212000,212000,806462,0,212000,0,0,13833,13833,0,0,0,1,0,0,0,0,4,0,6529,Jun2022
Vinnytska,UA05,1502430,805537,696893,110508,117742,228250,238346,134465,372811,11311,1502430,315000,315000,1187430,0,315000,0,0,26491,26491,0,0,0,0,0,0,0,0,4,0,15297,Jun2022
Volynska,UA07,1018628,537725,480903,95205,101245,196450,129037,73972,203009,3105,1018628,211000,211000,807628,0,211000,0,0,20149,20149,0,0,0,0,0,0,0,0,0,0,7588,Jun2022
Zakarpatska,UA21,1241643,644559,597084,117513,124691,242204,141186,88706,229892,3368,1241643,257000,257000,984643,0,257000,0,0,12758,12758,0,0,0,0,0,0,0,0,0,0,5675,Jun2022
Zaporizka,UA23,1637673,889959,747714,112990,119983,232973,277337,147331,424668,56284,1637673,633000,633000,1004673,0,633000,0,0,27180,6795,20385,0,6,105,11,69,0,0,66,17,17675,Jun2022
Zhytomyrska,UA18,1179801,629467,550334,92406,98146,190552,179745,98703,278448,7057,1179801,248000,248000,931801,0,248000,0,0,29839,29839,0,0,0,4,0,1,0,0,27,0,13705,Jun2022
Cherkaska,UA71,1157115,624475,532640,75552,81536,157088,196700,110769,307469,10784,1157115,244000,244000,913115,0,244000,0,0,20940,20940,0,0,0,2,0,10,0,0,1,2,13464,Jul2022
Chernihivska,UA74,950773,518447,432326,61356,64084,125440,174896,90800,265696,7315,950773,672000,672000,278773,0,672000,0,0,31895,31895,0,0,0,46,0,3,0,0,1,3,12559,Jul2022
Chernivetska,UA73,887392,468777,418615,73482,78391,151873,116988,69688,186676,2392,887392,184000,184000,703392,0,184000,0,0,8095,8095,0,0,0,0,0,0,0,0,0,1,4362,Jul2022
Dnipropetrovska,UA12,3093176,1680750,1412426,226943,240091,467034,503014,265558,768572,71514,3093176,681000,681000,2412176,0,681000,0,0,31910,31910,0,0,2,90,0,30,0,0,30,1,23941,Jul2022
Donetska,UA14,4046487,2207252,1839235,204708,218811,423519,810872,465603,1276475,512237,4046487,2200000,2200000,1846487,0,2200000,0,0,26500,11149,15055,296,292,1723,1,1224,0,0,82,57,7786,Jul2022
Ivano-Frankivska,UA26,1349096,711226,637870,108676,115708,224384,181690,108256,289946,3833,1349096,280000,280000,1069096,0,280000,0,0,13933,13933,0,0,0,0,0,0,0,0,0,1,7771,Jul2022
Kharkivska,UA63,2583325,1384642,1198683,169358,180505,349863,412784,224680,637464,135556,2583325,1500000,1500000,1083325,0,1500000,0,0,31435,21788,9430,217,76,847,11,267,0,0,85,20,20864,Jul2022
Khersonska,UA65,1000166,535440,464726,76623,81913,158536,153827,84911,238738,14614,1000166,766000,766000,234166,0,766000,0,0,26657,0,26657,0,32,258,17,509,0,0,11,24,10314,Jul2022
Khmelnytska,UA68,1225666,655503,570163,92902,97681,190583,193654,109045,302699,6580,1225666,257000,257000,968666,0,257000,0,0,20628,20628,0,0,0,2,0,0,0,0,0,1,10188,Jul2022
Kirovohradska,UA35,897297,483025,414272,63954,67838,131792,148637,82051,230688,6558,897297,190000,190000,707297,0,190000,0,0,24578,24578,0,0,0,4,0,8,0,0,0,1,11089,Jul2022
Kyiv,UA80,2910994,1568793,1342201,232566,248470,481036,401501,236765,638266,163491,2910994,1900000,1900000,1010994,0,1900000,0,0,834,834,0,0,0,0,0,0,0,0,2,1,15692,Jul2022
Kyivska,UA32,1789300,969870,819430,153069,163542,316611,253461,137057,390518,66045,1789300,569000,569000,1220300,0,569000,0,0,28132,28132,0,0,0,2,0,1,0,0,0,6,13684,Jul2022
Luhanska,UA44,2098324,1136515,961809,91298,98018,189316,436762,256423,693185,282493,2098324,1500000,1500000,598324,0,1500000,0,0,26688,0,26643,45,24,62,3,293,0,0,21,23,3490,Jul2022
Lvivska,UA46,2459763,1294772,1164991,192773,203584,396357,343762,206012,549774,11244,2459763,511000,511000,1948763,0,511000,0,0,21824,21824,0,0,0,0,0,0,0,0,0,1,9383,Jul2022
Mykolaivska,UA48,1091106,584957,506149,79731,85170,164901,170974,95197,266171,8316,1091106,471000,471000,620106,0,471000,0,0,24016,22991,894,131,11,357,1,392,0,0,35,15,15744,Jul2022
Odeska,UA51,2340332,1237452,1102880,189998,203812,393810,333832,194370,528202,38602,2340332,483000,483000,1857332,0,483000,0,0,33348,33348,0,0,0,29,0,53,0,0,24,12,11361,Jul2022
Poltavska,UA53,1344445,722656,621789,91171,97568,188739,219156,120834,339990,22643,1344445,283000,283000,1061445,0,283000,0,0,28723,28723,0,0,0,0,0,0,0,0,8,1,15907,Jul2022
Rivnenska,UA56,1140724,598625,542099,111755,117385,229140,138715,81699,220414,3022,1140724,236000,236000,904724,0,236000,0,0,20053,20053,0,0,0,0,0,0,0,0,0,1,9680,Jul2022
Sumska,UA59,1033580,558993,474587,64296,68282,132578,177893,100633,278526,11247,1033580,821000,821000,212580,0,821000,0,0,23842,23842,0,0,0,165,0,3,0,0,9,12,16260,Jul2022
Ternopilska,UA61,1018462,541302,477160,76461,80396,156857,147742,86344,234086,2159,1018462,212000,212000,806462,0,212000,0,0,13833,13833,0,0,0,0,0,0,0,0,0,1,6139,Jul2022
Vinnytska,UA05,1502430,805537,696893,110508,117742,228250,238346,134465,372811,11311,1502430,315000,315000,1187430,0,315000,0,0,26491,26491,0,0,0,1,0,26,0,0,3,1,13698,Jul2022
Volynska,UA07,1018628,537725,480903,95205,101245,196450,129037,73972,203009,3105,1018628,211000,211000,807628,0,211000,0,0,20149,20149,0,0,0,1,0,1,0,0,0,1,6906,Jul2022
Zakarpatska,UA21,1241643,644559,597084,117513,124691,242204,141186,88706,229892,3368,1241643,257000,257000,984643,0,257000,0,0,12758,12758,0,0,0,0,0,0,0,0,0,1,5583,Jul2022
Zaporizka,UA23,1637673,889959,747714,112990,119983,232973,277337,147331,424668,56284,1637673,633000,633000,1004673,0,633000,0,0,27180,6795,20385,0,4,254,7,67,0,0,10,27,17937,Jul2022
Zhytomyrska,UA18,1179801,629467,550334,92406,98146,190552,179745,98703,278448,7057,1179801,248000,248000,931801,0,248000,0,0,29839,29839,0,0,0,1,0,2,0,0,0,9,12866,Jul2022
Cherkaska,UA71,1157115,624475,532640,75552,81536,157088,196700,110769,307469,10784,1157115,400000,400000,757115,0,400000,0,0,20940,20940,0,0,0,1,0,1,0,0,0,4,12506,Aug2022
Chernihivska,UA74,950773,518447,432326,61356,64084,125440,174896,90800,265696,7315,950773,483000,483000,467773,0,483000,0,0,31895,31895,0,0,0,55,0,0,0,0,0,8,11677,Aug2022
Chernivetska,UA73,887392,468777,418615,73482,78391,151873,116988,69688,186676,2392,887392,341000,341000,546392,0,341000,0,0,8095,8095,0,0,0,0,0,0,0,0,0,5,3943,Aug2022
Dnipropetrovska,UA12,3093176,1680750,1412426,226943,240091,467034,503014,265558,768572,71514,3093176,1400000,1400000,1693176,0,1400000,0,0,31910,31910,0,0,3,146,0,121,0,0,61,6,22150,Aug2022
Donetska,UA14,4046487,2207252,1839235,204708,218811,423519,810872,465603,1276475,512237,4046487,2500000,2500000,1546487,0,2500000,0,0,26500,11149,15055,296,407,1657,2,1013,0,0,67,43,8067,Aug2022
Ivano-Frankivska,UA26,1349096,711226,637870,108676,115708,224384,181690,108256,289946,3833,1349096,470000,470000,879096,0,470000,0,0,13933,13933,0,0,0,0,0,0,0,0,0,4,7384,Aug2022
Kharkivska,UA63,2583325,1384642,1198683,169358,180505,349863,412784,224680,637464,135556,2583325,764000,764000,1819325,0,764000,0,0,31435,21937,9430,68,58,863,20,236,0,0,15,27,20506,Aug2022
Khersonska,UA65,1000166,535440,464726,76623,81913,158536,153827,84911,238738,14614,1000166,160000,160000,840166,0,160000,0,0,26657,0,26657,0,30,352,42,742,0,0,6,22,9700,Aug2022
Khmelnytska,UA68,1225666,655503,570163,92902,97681,190583,193654,109045,302699,6580,1225666,389000,389000,836666,0,389000,0,0,20628,20628,0,0,0,1,0,0,0,0,1,4,9346,Aug2022
Kirovohradska,UA35,897297,483025,414272,63954,67838,131792,148637,82051,230688,6558,897297,288000,288000,609297,0,288000,0,0,24578,24578,0,0,1,1,0,0,0,0,0,4,10640,Aug2022
Kyiv,UA80,2910994,1568793,1342201,232566,248470,481036,401501,236765,638266,163491,2910994,1400000,1400000,1510994,0,1400000,0,0,834,834,0,0,0,0,0,0,0,0,0,4,13003,Aug2022
Kyivska,UA32,1789300,969870,819430,153069,163542,316611,253461,137057,390518,66045,1789300,872000,872000,917300,0,872000,0,0,28132,28132,0,0,0,0,0,0,0,0,0,6,11762,Aug2022
Luhanska,UA44,2098324,1136515,961809,91298,98018,189316,436762,256423,693185,282493,2098324,1300000,1300000,798324,0,1300000,0,0,26688,295,26222,171,11,27,1,755,0,0,1,25,3378,Aug2022
Lvivska,UA46,2459763,1294772,1164991,192773,203584,396357,343762,206012,549774,11244,2459763,919000,919000,1540763,0,919000,0,0,21824,21824,0,0,0,2,0,0,0,0,0,4,8732,Aug2022
Mykolaivska,UA48,1091106,584957,506149,79731,85170,164901,170974,95197,266171,8316,1091106,552000,552000,539106,0,552000,0,0,24016,23763,119,134,10,389,0,326,0,0,10,22,15290,Aug2022
Odeska,UA51,2340332,1237452,1102880,189998,203812,393810,333832,194370,528202,38602,2340332,976000,976000,1364332,0,976000,0,0,33348,33348,0,0,0,8,0,2,0,0,1,9,10576,Aug2022
Poltavska,UA53,1344445,722656,621789,91171,97568,188739,219156,120834,339990,22643,1344445,634000,634000,710445,0,634000,0,0,28723,28723,0,0,0,1,0,0,0,0,0,5,14727,Aug2022
Rivnenska,UA56,1140724,598625,542099,111755,117385,229140,138715,81699,220414,3022,1140724,383000,383000,757724,0,383000,0,0,20053,20053,0,0,0,2,0,0,0,0,0,5,9093,Aug2022
Sumska,UA59,1033580,558993,474587,64296,68282,132578,177893,100633,278526,11247,1033580,524000,524000,509580,0,524000,0,0,23842,23842,0,0,2,176,0,1,0,0,5,10,15207,Aug2022
Ternopilska,UA61,1018462,541302,477160,76461,80396,156857,147742,86344,234086,2159,1018462,358000,358000,660462,0,358000,0,0,13833,13833,0,0,0,0,0,0,0,0,0,5,5848,Aug2022
Vinnytska,UA05,1502430,805537,696893,110508,117742,228250,238346,134465,372811,11311,1502430,548000,548000,954430,0,548000,0,0,26491,26491,0,0,0,1,0,0,0,0,5,3,12778,Aug2022
Volynska,UA07,1018628,537725,480903,95205,101245,196450,129037,73972,203009,3105,1018628,363000,363000,655628,0,363000,0,0,20149,20149,0,0,0,0,0,0,0,0,0,2,6523,Aug2022
Zakarpatska,UA21,1241643,644559,597084,117513,124691,242204,141186,88706,229892,3368,1241643,493000,493000,748643,0,493000,0,0,12758,12758,0,0,0,2,0,0,0,0,0,2,5820,Aug2022
Zaporizka,UA23,1637673,889959,747714,112990,119983,232973,277337,147331,424668,56284,1637673,777000,777000,860673,0,777000,0,0,27180,6795,20385,0,12,417,6,301,0,0,7,20,17761,Aug2022
Zhytomyrska,UA18,1179801,629467,550334,92406,98146,190552,179745,98703,278448,7057,1179801,424000,424000,755801,0,424000,0,0,29839,29839,0,0,0,2,0,0,0,0,0,4,12133,Aug2022
Cherkaska,UA71,1157115,624475,532640,75552,81536,157088,196700,110769,307469,145607,1157115,400000,400000,757115,0,400000,0,0,20940,20940,0,0,0,2,0,10,0,0,0,1,11672,Sep2022
Chernihivska,UA74,950773,518447,432326,61356,64084,125440,174896,90800,265696,78407,950773,483000,483000,467773,0,483000,0,0,31895,31895,0,0,0,63,0,0,0,0,0,2,10745,Sep2022
Chernivetska,UA73,887392,468777,418615,73482,78391,151873,116988,69688,186676,73306,887392,341000,341000,546392,0,341000,0,0,8095,8095,0,0,0,0,0,0,0,0,0,1,3487,Sep2022
Dnipropetrovska,UA12,3093176,1680750,1412426,226943,240091,467034,503014,265558,768572,332752,3093176,1400000,1400000,1693176,0,1400000,0,0,31910,31910,0,0,12,139,0,104,0,0,86,1,20799,Sep2022
Donetska,UA14,4046487,2207252,1839235,204708,218811,423519,810872,465603,1276475,512237,4046487,2500000,2500000,1546487,0,2500000,0,0,26500,11149,15055,296,367,1567,2,518,0,0,188,48,8358,Sep2022
Ivano-Frankivska,UA26,1349096,711226,637870,108676,115708,224384,181690,108256,289946,111113,1349096,470000,470000,879096,0,470000,0,0,13933,13933,0,0,0,0,0,0,0,0,0,1,6807,Sep2022
Kharkivska,UA63,2583325,1384642,1198683,169358,180505,349863,412784,224680,637464,403779,2583325,764000,764000,1819325,0,764000,0,0,31435,29566,1813,56,96,591,13,460,0,0,10,78,20049,Sep2022
Khersonska,UA65,1000166,535440,464726,76623,81913,158536,153827,84911,238738,14614,1000166,160000,160000,840166,0,160000,0,0,26657,0,26657,0,70,399,27,854,0,0,20,38,8473,Sep2022
Khmelnytska,UA68,1225666,655503,570163,92902,97681,190583,193654,109045,302699,99534,1225666,389000,389000,836666,0,389000,0,0,20628,20628,0,0,0,0,0,0,0,0,5,1,8368,Sep2022
Kirovohradska,UA35,897297,483025,414272,63954,67838,131792,148637,82051,230688,90525,897297,288000,288000,609297,0,288000,0,0,24578,24578,0,0,0,1,0,0,0,0,0,1,10153,Sep2022
Kyiv,UA80,2910994,1568793,1342201,232566,248470,481036,401501,236765,638266,177477,2910994,1400000,1400000,1510994,0,1400000,0,0,834,834,0,0,0,0,0,0,0,0,9,1,11335,Sep2022
Kyivska,UA32,1789300,969870,819430,153069,163542,316611,253461,137057,390518,325074,1789300,872000,872000,917300,0,872000,0,0,28132,28132,0,0,0,0,0,0,0,0,23,1,10546,Sep2022
Luhanska,UA44,2098324,1136515,961809,91298,98018,189316,436762,256423,693185,282493,2098324,1300000,1300000,798324,0,1300000,0,0,26688,7,26622,59,14,75,2,1068,0,0,2,30,3242,Sep2022
Lvivska,UA46,2459763,1294772,1164991,192773,203584,396357,343762,206012,549774,110371,2459763,919000,919000,1540763,0,919000,0,0,21824,21824,0,0,0,0,0,0,0,0,0,1,8067,Sep2022
Mykolaivska,UA48,1091106,584957,506149,79731,85170,164901,170974,95197,266171,103217,1091106,552000,552000,539106,0,552000,0,0,24016,22858,1024,134,31,373,2,195,0,0,18,28,14700,Sep2022
Odeska,UA51,2340332,1237452,1102880,189998,203812,393810,333832,194370,528202,113630,2340332,976000,976000,1364332,0,976000,0,0,33348,33348,0,0,0,19,0,2,0,0,2,2,9744,Sep2022
Poltavska,UA53,1344445,722656,621789,91171,97568,188739,219156,120834,339990,199678,1344445,634000,634000,710445,0,634000,0,0,28723,28723,0,0,0,0,0,0,0,0,0,2,13627,Sep2022
Rivnenska,UA56,1140724,598625,542099,111755,117385,229140,138715,81699,220414,79088,1140724,383000,383000,757724,0,383000,0,0,20053,20053,0,0,0,0,0,0,0,0,0,1,8319,Sep2022
Sumska,UA59,1033580,558993,474587,64296,68282,132578,177893,100633,278526,61722,1033580,524000,524000,509580,0,524000,0,0,23842,23842,0,0,4,170,0,2,0,0,51,6,14489,Sep2022
Ternopilska,UA61,1018462,541302,477160,76461,80396,156857,147742,86344,234086,86528,1018462,358000,358000,660462,0,358000,0,0,13833,13833,0,0,0,0,0,0,0,0,0,1,5320,Sep2022
Vinnytska,UA05,1502430,805537,696893,110508,117742,228250,238346,134465,372811,177409,1502430,548000,548000,954430,0,548000,0,0,26491,26491,0,0,0,0,0,0,0,0,0,1,11479,Sep2022
Volynska,UA07,1018628,537725,480903,95205,101245,196450,129037,73972,203009,51307,1018628,363000,363000,655628,0,363000,0,0,20149,20149,0,0,0,0,0,0,0,0,0,1,6117,Sep2022
Zakarpatska,UA21,1241643,644559,597084,117513,124691,242204,141186,88706,229892,166316,1241643,493000,493000,748643,0,493000,0,0,12758,12758,0,0,0,0,0,0,0,0,0,1,5627,Sep2022
Zaporizka,UA23,1637673,889959,747714,112990,119983,232973,277337,147331,424668,194904,1637673,777000,777000,860673,0,777000,0,0,27180,6795,20385,0,9,501,3,350,0,0,3,42,17622,Sep2022
Zhytomyrska,UA18,1179801,629467,550334,92406,98146,190552,179745,98703,278448,73827,1179801,424000,424000,755801,0,424000,0,0,29839,29839,0,0,0,0,0,0,0,0,0,3,11315,Sep2022
Cherkaska,UA71,1157115,624475,532640,75552,81536,157088,196700,110769,307469,150090,1157115,400000,400000,757115,0,400000,0,0,20940,20940,0,0,0,3,0,0,0,0,1,0,10691,Oct2022
Chernihivska,UA74,950773,518447,432326,61356,64084,125440,174896,90800,265696,79121,950773,483000,483000,467773,0,483000,0,0,31895,31895,0,0,0,57,0,5,0,0,0,29,9396,Oct2022
Chernivetska,UA73,887392,468777,418615,73482,78391,151873,116988,69688,186676,72702,887392,341000,341000,546392,0,341000,0,0,8095,8095,0,0,0,2,0,0,0,0,1,0,3036,Oct2022
Dnipropetrovska,UA12,3093176,1680750,1412426,226943,240091,467034,503014,265558,768572,348623,3093176,1400000,1400000,1693176,0,1400000,0,0,31910,31910,0,0,2,126,0,4,0,0,74,3,19554,Oct2022
Donetska,UA14,4046487,2207252,1839235,204708,218811,423519,810872,465603,1276475,512237,4046487,2500000,2500000,1546487,0,2500000,0,0,26500,11149,15055,296,446,1118,0,958,0,0,40,12,8334,Oct2022
Ivano-Frankivska,UA26,1349096,711226,637870,108676,115708,224384,181690,108256,289946,96671,1349096,470000,470000,879096,0,470000,0,0,13933,13933,0,0,0,2,0,0,0,0,0,2,6124,Oct2022
Kharkivska,UA63,2583325,1384642,1198683,169358,180505,349863,412784,224680,637464,422390,2583325,764000,764000,1819325,0,764000,0,0,31435,30677,690,68,82,510,0,268,0,0,29,47,19683,Oct2022
Khersonska,UA65,1000166,535440,464726,76623,81913,158536,153827,84911,238738,14614,1000166,160000,160000,840166,0,160000,0,0,26657,0,26657,0,176,268,19,1164,0,0,9,16,7949,Oct2022
Khmelnytska,UA68,1225666,655503,570163,92902,97681,190583,193654,109045,302699,95869,1225666,389000,389000,836666,0,389000,0,0,20628,20628,0,0,0,5,0,0,0,0,1,1,7296,Oct2022
Kirovohradska,UA35,897297,483025,414272,63954,67838,131792,148637,82051,230688,91654,897297,288000,288000,609297,0,288000,0,0,24578,24578,0,0,0,3,0,0,0,0,1,1,9136,Oct2022
Kyiv,UA80,2910994,1568793,1342201,232566,248470,481036,401501,236765,638266,194112,2910994,1400000,1400000,1510994,0,1400000,0,0,834,834,0,0,0,9,0,11,0,0,1,1,10549,Oct2022
Kyivska,UA32,1789300,969870,819430,153069,163542,316611,253461,137057,390518,335484,1789300,872000,872000,917300,0,872000,0,0,28132,28132,0,0,0,8,0,1,0,0,2,15,9323,Oct2022
Luhanska,UA44,2098324,1136515,961809,91298,98018,189316,436762,256423,693185,282493,2098324,1300000,1300000,798324,0,1300000,0,0,26688,295,26222,171,86,139,3,632,0,0,1,11,3130,Oct2022
Lvivska,UA46,2459763,1294772,1164991,192773,203584,396357,343762,206012,549774,248692,2459763,919000,919000,1540763,0,919000,0,0,21824,21824,0,0,0,3,0,0,0,0,0,4,7723,Oct2022
Mykolaivska,UA48,1091106,584957,506149,79731,85170,164901,170974,95197,266171,99525,1091106,552000,552000,539106,0,552000,0,0,24016,23885,119,12,21,170,0,72,0,0,14,6,14051,Oct2022
Odeska,UA51,2340332,1237452,1102880,189998,203812,393810,333832,194370,528202,120581,2340332,976000,976000,1364332,0,976000,0,0,33348,33348,0,0,0,8,0,0,0,0,2,0,9030,Oct2022
Poltavska,UA53,1344445,722656,621789,91171,97568,188739,219156,120834,339990,201996,1344445,634000,634000,710445,0,634000,0,0,28723,28723,0,0,1,2,0,1,0,0,1,3,12226,Oct2022
Rivnenska,UA56,1140724,598625,542099,111755,117385,229140,138715,81699,220414,80985,1140724,383000,383000,757724,0,383000,0,0,20053,20053,0,0,0,1,0,0,0,0,0,1,7483,Oct2022
Sumska,UA59,1033580,558993,474587,64296,68282,132578,177893,100633,278526,69805,1033580,524000,524000,509580,0,524000,0,0,23842,23842,0,0,0,159,0,11,0,0,3,28,12716,Oct2022
Ternopilska,UA61,1018462,541302,477160,76461,80396,156857,147742,86344,234086,83506,1018462,358000,358000,660462,0,358000,0,0,13833,13833,0,0,0,1,0,0,0,0,0,4,4967,Oct2022
Vinnytska,UA05,1502430,805537,696893,110508,117742,228250,238346,134465,372811,182282,1502430,548000,548000,954430,0,548000,0,0,26491,26491,0,0,0,6,0,1,0,0,0,1,9873,Oct2022
Volynska,UA07,1018628,537725,480903,95205,101245,196450,129037,73972,203009,51307,1018628,363000,363000,655628,0,363000,0,0,20149,20149,0,0,0,2,0,0,0,0,0,0,5211,Oct2022
Zakarpatska,UA21,1241643,644559,597084,117513,124691,242204,141186,88706,229892,155464,1241643,493000,493000,748643,0,493000,0,0,12758,12758,0,0,0,0,0,0,0,0,0,0,5142,Oct2022
Zaporizka,UA23,1637673,889959,747714,112990,119983,232973,277337,147331,424668,197462,1637673,777000,777000,860673,0,777000,0,0,27180,6795,20385,0,7,416,4,409,0,0,43,19,16730,Oct2022
Zhytomyrska,UA18,1179801,629467,550334,92406,98146,190552,179745,98703,278448,71522,1179801,424000,424000,755801,0,424000,0,0,29839,29839,0,0,0,2,0,0,0,0,3,2,9759,Oct2022
Cherkaska,UA71,1157115,624475,532640,75552,81536,157088,196700,110769,307469,146693,1157115,400000,400000,757115,0,400000,0,0,20940,20940,0,0,0,3,0,0,0,0,0,1,9212,Nov2022
Chernihivska,UA74,950773,518447,432326,61356,64084,125440,174896,90800,265696,78947,950773,483000,483000,467773,0,483000,0,0,31895,31895,0,0,0,48,0,0,0,0,0,2,8740,Nov2022
Chernivetska,UA73,887392,468777,418615,73482,78391,151873,116988,69688,186676,72222,887392,341000,341000,546392,0,341000,0,0,8095,8095,0,0,0,0,0,0,0,0,0,1,2587,Nov2022
Dnipropetrovska,UA12,3093176,1680750,1412426,226943,240091,467034,503014,265558,768572,359785,3093176,1400000,1400000,1693176,0,1400000,0,0,31910,31910,0,0,4,119,0,12,0,0,57,1,17020,Nov2022
Donetska,UA14,4046487,2207252,1839235,204708,218811,423519,810872,465603,1276475,512237,4046487,2500000,2500000,1546487,0,2500000,0,0,26500,11149,15055,296,471,1029,1,831,0,0,26,15,7488,Nov2022
Ivano-Frankivska,UA26,1349096,711226,637870,108676,115708,224384,181690,108256,289946,141575,1349096,470000,470000,879096,0,470000,0,0,13933,13933,0,0,0,0,0,0,0,0,0,1,5425,Nov2022
