oblast_or_country,pcode,# total population,# female population,# male population,# female younger population (0 - 14 years),# male younger population (0 - 14 years),# total younger population (0 - 14 years),# female older population (60 years and up),# male older population (60 years and up),# total older population (60 years and up),# registered IDPs,# people exposed,# people affected,# people in need,# people in level 1 humanitarian condition,# people in level 2 humanitarian condition,# people in level 3 humanitarian condition,# people in level 4 humanitarian condition,# people in level 5 humanitarian condition,# km² landmass affected,# km² controlled by Ukrainian authorities/forces,# km² controlled by Russian forces,# km² unconfirmed control,# battles,# explosions/remote violence,# violence against civilians,# fatalities,# civilian fatalities,# civilian injuries,# total infrastructure damage,# total access events,# unemployed people,period
Kyiv,UA80,2910994,1568793,1342201,232566,248470,481036,401501,236765,638266,163491,0,0,0,0,0,0,0,0,0,834,0,0,0,0,2,0,0,0,0,0,9956,Jan2022
Kyivska,UA32,1789300,969870,819430,153069,163542,316611,253461,137057,390518,66045,0,0,0,0,0,0,0,0,0,28132,0,0,0,0,0,0,0,0,0,0,11577,Jan2022
Luhanska,UA44,2098324,1136515,961809,91298,98018,189316,436762,256423,693185,282493,2098324,1066000,1066000,0,0,0,0,0,26688,17176,9341,171,51,91,0,3,0,0,0,0,7256,Jan2022
Lvivska,UA46,2459763,1294772,1164991,192773,203584,396357,343762,206012,549774,11244,0,0,0,0,0,0,0,0,0,21824,0,0,0,0,0,0,0,0,0,0,13048,Jan2022
Mykolaivska,UA48,1091106,584957,506149,79731,85170,164901,170974,95197,266171,8316,0,0,0,0,0,0,0,0,0,24016,0,0,0,0,0,0,0,0,0,0,13707,Jan2022
Odeska,UA51,2340332,1237452,1102880,189998,203812,393810,333832,194370,528202,38602,0,0,0,0,0,0,0,0,0,33348,0,0,0,0,0,0,0,0,0,0,13620,Jan2022
Poltavska,UA53,1344445,722656,621789,91171,97568,188739,219156,120834,339990,22643,0,0,0,0,0,0,0,0,0,28723,0,0,0,0,0,0,0,0,0,0,19766,Jan2022
Rivnenska,UA56,1140724,598625,542099,111755,117385,229140,138715,81699,220414,3022,0,0,0,0,0,0,0,0,0,20053,0,0,0,0,0,0,0,0,0,0,11054,Jan2022
Sumska,UA59,1033580,558993,474587,64296,68282,132578,177893,100633,278526,11247,0,0,0,0,0,0,0,0,0,23842,0,0,0,0,0,0,0,0,0,0,12293,Jan2022
Ternopilska,UA61,1018462,541302,477160,76461,80396,156857,147742,86344,234086,2159,0,0,0,0,0,0,0,0,0,13833,0,0,0,0,0,0,0,0,0,0,9488,Jan2022
Vinnytska,UA05,1502430,805537,696893,110508,117742,228250,238346,134465,372811,11311,0,0,0,0,0,0,0,0,0,26491,0,0,0,0,0,0,0,0,0,0,19599,Jan2022
Volynska,UA07,1018628,537725,480903,95205,101245,196450,129037,73972,203009,3105,0,0,0,0,0,0,0,0,0,20149,0,0,0,0,0,0,0,0,0,0,7884,Jan2022
Zakarpatska,UA21,1241643,644559,597084,117513,124691,242204,141186,88706,229892,3368,0,0,0,0,0,0,0,0,0,12758,0,0,0,0,0,0,0,0,0,0,4556,Jan2022
Zaporizka,UA23,1637673,889959,747714,112990,119983,232973,277337,147331,424668,56284,0,0,0,0,0,0,0,0,0,27180,0,0,0,0,0,0,0,0,0,0,15126,Jan2022
Zhytomyrska,UA18,1179801,629467,550334,92406,98146,190552,179745,98703,278448,7057,0,0,0,0,0,0,0,0,0,29839,0,0,0,0,0,0,0,0,0,0,12548,Jan2022
Cherkaska,UA71,1157115,624475,532640,75552,81536,157088,196700,110769,307469,10784,0,0,0,0,0,0,0,0,20940,20940,0,0,0,2,0,1,0,0,2,1,16358,Feb2022
Chernihivska,UA74,950773,518447,432326,61356,64084,125440,174896,90800,265696,7315,0,0,0,0,0,0,0,0,31895,31895,0,0,8,17,7,20,0,0,7,24,10504,Feb2022
Chernivetska,UA73,887392,468777,418615,73482,78391,151873,116988,69688,186676,2392,0,0,0,0,0,0,0,0,8095,8095,0,0,0,0,0,0,0,0,0,4,5799,Feb2022
Dnipropetrovska,UA12,3093176,1680750,1412426,226943,240091,467034,503014,265558,768572,71514,0,0,0,0,0,0,0,0,31910,31910,0,0,0,1,1,0,0,0,0,1,23604,Feb2022
Donetska,UA14,4046487,2207252,1839235,204708,218811,423519,810872,465603,1276475,512237,4046487,1661000,1661000,2385487,0,0,0,0,26500,19579,6625,296,152,529,1,47,0,0,5,16,9903,Feb2022
Ivano-Frankivska,UA26,1349096,711226,637870,108676,115708,224384,181690,108256,289946,3833,0,0,0,0,0,0,0,0,13933,13933,0,0,0,2,0,0,0,0,0,2,8412,Feb2022
Kharkivska,UA63,2583325,1384642,1198683,169358,180505,349863,412784,224680,637464,135556,0,0,0,0,0,0,0,0,31435,30677,690,68,11,20,9,61,0,0,11,4,20411,Feb2022
Khersonska,UA65,1000166,535440,464726,76623,81913,158536,153827,84911,238738,14614,0,0,0,0,0,0,0,0,26657,6615,18962,1080,16,6,6,44,0,0,3,8,10393,Feb2022
Khmelnytska,UA68,1225666,655503,570163,92902,97681,190583,193654,109045,302699,6580,0,0,0,0,0,0,0,0,20628,20628,0,0,0,0,0,0,0,0,0,2,13004,Feb2022
Kirovohradska,UA35,897297,483025,414272,63954,67838,131792,148637,82051,230688,6558,0,0,0,0,0,0,0,0,24578,24578,0,0,0,0,0,0,0,0,1,1,14170,Feb2022
Kyiv,UA80,2910994,1568793,1342201,232566,248470,481036,401501,236765,638266,163491,0,0,0,0,0,0,0,0,834,834,0,0,8,4,2,20,0,0,1,6,9840,Feb2022
Kyivska,UA32,1789300,969870,819430,153069,163542,316611,253461,137057,390518,66045,0,0,0,0,0,0,0,0,28132,19692,8440,0,29,17,8,61,0,0,5,5,11592,Feb2022
Luhanska,UA44,2098324,1136515,961809,91298,98018,189316,436762,256423,693185,282493,2098324,1056000,1056000,1042324,0,0,0,0,26688,14507,12010,171,95,359,0,80,0,0,4,10,7404,Feb2022
Lvivska,UA46,2459763,1294772,1164991,192773,203584,396357,343762,206012,549774,11244,0,0,0,0,0,0,0,0,21824,21824,0,0,0,3,0,0,0,0,0,8,12761,Feb2022
Mykolaivska,UA48,1091106,584957,506149,79731,85170,164901,170974,95197,266171,8316,0,0,0,0,0,0,0,0,24016,24016,0,0,5,2,0,65,0,0,2,2,13942,Feb2022
Odeska,UA51,2340332,1237452,1102880,189998,203812,393810,333832,194370,528202,38602,0,0,0,0,0,0,0,0,33348,33348,0,0,4,6,0,22,0,0,0,3,13534,Feb2022
Poltavska,UA53,1344445,722656,621789,91171,97568,188739,219156,120834,339990,22643,0,0,0,0,0,0,0,0,28723,28723,0,0,0,1,1,0,0,0,0,1,19584,Feb2022
